episode,reward,steps,timestamp,td_loss,epsilon,network_loss,eval_reward
0,-22.0,2145,2025-09-07T09:27:31.839719,0,1.0,,
1,-20.0,1695,2025-09-07T09:27:37.693771,0,1.0,,
2,-22.0,1956,2025-09-07T09:27:44.666241,0,1.0,,
3,-18.0,2783,2025-09-07T09:27:54.561905,0,1.0,,
4,-24.0,1953,2025-09-07T09:28:01.452513,0,1.0,,
5,-22.0,1970,2025-09-07T09:28:07.832827,0,1.0,,
6,-18.0,1636,2025-09-07T09:28:13.660983,0,1.0,,
7,-18.0,1821,2025-09-07T09:28:20.277957,0,1.0,,
8,-18.0,2213,2025-09-07T09:28:28.287795,0,1.0,,
9,-22.0,2127,2025-09-07T09:28:35.780481,0,1.0,,
10,-18.0,2193,2025-09-07T09:28:43.537586,0,1.0,,
